branch_id,ending,macro_topic_name,toxicity,stance,cross_partisan
46,disagreement,Other,0.0939,1.0,False
46,disagreement,Other,0.0939,1.0,False
46,disagreement,Other,0.0939,1.0,False
47,disagreement,Interviews/Podcasts,0.207,1.0,False
47,disagreement,Other,0.207,1.0,False
47,disagreement,Other,0.207,1.0,False
48,disagreement,Other,0.2364,1.0,False
48,disagreement,Other,0.2364,1.0,False
48,disagreement,Other,0.2364,1.0,False
49,disagreement,Other,0.1853,1.0,False
49,disagreement,Trump,0.1853,1.0,False
49,disagreement,Other,0.1853,1.0,False
49,disagreement,Other,0.1853,1.0,False
50,disagreement,Other,0.147,1.0,False
50,disagreement,Other,0.147,1.0,False
50,disagreement,Other,0.147,1.0,False
51,inconclusive,Other,0.1805,1.0,False
51,inconclusive,Other,0.1805,1.0,False
51,inconclusive,Other,0.1805,1.0,False
52,disagreement,Other,0.1451,1.0,False
52,disagreement,Other,0.1451,1.0,False
52,disagreement,Other,0.1451,1.0,False
53,inconclusive,Other,0.0663,1.0,False
53,inconclusive,Other,0.0663,1.0,False
53,inconclusive,Other,0.0663,1.0,False
54,disagreement,Other,0.2135,1.0,False
54,disagreement,Other,0.2135,1.0,False
54,disagreement,Other,0.2135,1.0,False
55,inconclusive,Other,0.1271,1.0,False
55,inconclusive,Other,0.1271,1.0,False
55,inconclusive,Other,0.1271,1.0,False
56,disagreement,Other,0.0937,1.0,False
56,disagreement,Other,0.0937,1.0,False
56,disagreement,Other,0.0937,1.0,False
57,disagreement,Other,0.1478,1.0,True
57,disagreement,Other,0.1478,1.0,True
57,disagreement,Other,0.1478,1.0,True
58,inconclusive,Other,0.1312,1.0,False
58,inconclusive,Other,0.1312,1.0,False
58,inconclusive,Other,0.1312,1.0,False
58,inconclusive,Other,0.1312,1.0,False
59,disagreement,Other,0.1598,1.0,False
59,disagreement,Other,0.1598,1.0,False
59,disagreement,Other,0.1598,1.0,False
59,disagreement,Other,0.1598,1.0,False
60,disagreement,Other,0.1434,1.0,False
60,disagreement,Other,0.1434,1.0,False
60,disagreement,Other,0.1434,1.0,False
61,inconclusive,Other,0.1339,1.0,False
61,inconclusive,Other,0.1339,1.0,False
61,inconclusive,Other,0.1339,1.0,False
62,disagreement,Other,0.1441,1.0,False
62,disagreement,Other,0.1441,1.0,False
62,disagreement,Other,0.1441,1.0,False
63,inconclusive,Other,0.1539,1.0,True
63,inconclusive,Other,0.1539,1.0,True
63,inconclusive,Other,0.1539,1.0,True
64,disagreement,Other,0.3103,1.0,True
64,disagreement,Other,0.3103,1.0,True
